curriculum_system,curriculum_status,key_stage,level,module,strand_zh,strand_en,unit_code,unit_order,unit_name_zh,unit_name_en,curriculum_tier,grade_assignment_policy,source_doc_ids,implementation_note
Hong Kong Mathematics Curriculum,current,KS1,P2,Primary Mathematics,增潤課題,Enrichment Topics,2E2,16,方塊圖,Block charts,enrichment,official_grade; within-grade sequence flexible,EDB-PMC-2017-ZH;EDB-PMC-2017-EN,
Hong Kong Mathematics Curriculum,current,KS1,P3,Primary Mathematics,數,Number,3N1,1,五位數,5-digit numbers,core,official_grade; within-grade sequence flexible,EDB-PMC-2017-ZH;EDB-PMC-2017-EN,
Hong Kong Mathematics Curriculum,current,KS1,P3,Primary Mathematics,數,Number,3N2,2,乘法（一）,Multiplication (I),core,official_grade; within-grade sequence flexible,EDB-PMC-2017-ZH;EDB-PMC-2017-EN,
Hong Kong Mathematics Curriculum,current,KS1,P3,Primary Mathematics,數,Number,3N3,3,除法（一）,Division (I),core,official_grade; within-grade sequence flexible,EDB-PMC-2017-ZH;EDB-PMC-2017-EN,
Hong Kong Mathematics Curriculum,current,KS1,P3,Primary Mathematics,數,Number,3N4,4,四則運算（一）,Four arithmetic operations (I),core,official_grade; within-grade sequence flexible,EDB-PMC-2017-ZH;EDB-PMC-2017-EN,
Hong Kong Mathematics Curriculum,current,KS1,P3,Primary Mathematics,數,Number,3N5,5,分數（一）,Fractions (I),core,official_grade; within-grade sequence flexible,EDB-PMC-2017-ZH;EDB-PMC-2017-EN,
Hong Kong Mathematics Curriculum,current,KS1,P3,Primary Mathematics,度量,Measures,3M1,6,長度和距離（四）,Length and distance (IV),core,official_grade; within-grade sequence flexible,EDB-PMC-2017-ZH;EDB-PMC-2017-EN,
Hong Kong Mathematics Curriculum,current,KS1,P3,Primary Mathematics,度量,Measures,3M2,7,時間（三）,Time (III),core,official_grade; within-grade sequence flexible,EDB-PMC-2017-ZH;EDB-PMC-2017-EN,
Hong Kong Mathematics Curriculum,current,KS1,P3,Primary Mathematics,度量,Measures,3M3,8,容量,Capacity,core,official_grade; within-grade sequence flexible,EDB-PMC-2017-ZH;EDB-PMC-2017-EN,
Hong Kong Mathematics Curriculum,current,KS1,P3,Primary Mathematics,度量,Measures,3M4,9,時間（四）,Time (IV),core,official_grade; within-grade sequence flexible,EDB-PMC-2017-ZH;EDB-PMC-2017-EN,
Hong Kong Mathematics Curriculum,current,KS1,P3,Primary Mathematics,度量,Measures,3M5,10,重量,Weight,core,official_grade; within-grade sequence flexible,EDB-PMC-2017-ZH;EDB-PMC-2017-EN,
Hong Kong Mathematics Curriculum,current,KS1,P3,Primary Mathematics,圖形與空間,Shape and Space,3S1,11,四邊形（二）,Quadrilaterals (II),core,official_grade; within-grade sequence flexible,EDB-PMC-2017-ZH;EDB-PMC-2017-EN,
Hong Kong Mathematics Curriculum,current,KS1,P3,Primary Mathematics,圖形與空間,Shape and Space,3S2,12,三角形,Triangles,core,official_grade; within-grade sequence flexible,EDB-PMC-2017-ZH;EDB-PMC-2017-EN,
Hong Kong Mathematics Curriculum,current,KS1,P3,Primary Mathematics,數據處理,Data Handling,3D1,13,棒形圖（一）,Bar charts (I),core,official_grade; within-grade sequence flexible,EDB-PMC-2017-ZH;EDB-PMC-2017-EN,
Hong Kong Mathematics Curriculum,current,KS1,P3,Primary Mathematics,增潤課題,Enrichment Topics,3E1,14,繡曲線,Curve stitching,enrichment,official_grade; within-grade sequence flexible,EDB-PMC-2017-ZH;EDB-PMC-2017-EN,
Hong Kong Mathematics Curriculum,current,KS1,P3,Primary Mathematics,增潤課題,Enrichment Topics,3E2,15,地圖染色問題,The map-colouring problem,enrichment,official_grade; within-grade sequence flexible,EDB-PMC-2017-ZH;EDB-PMC-2017-EN,
Hong Kong Mathematics Curriculum,current,KS2,P4,Primary Mathematics,數,Number,4N1,1,乘法（二）,Multiplication (II),core,official_grade; within-grade sequence flexible,EDB-PMC-2017-ZH;EDB-PMC-2017-EN,
Hong Kong Mathematics Curriculum,current,KS2,P4,Primary Mathematics,數,Number,4N2,2,除法（二）,Division (II),core,official_grade; within-grade sequence flexible,EDB-PMC-2017-ZH;EDB-PMC-2017-EN,
Hong Kong Mathematics Curriculum,current,KS2,P4,Primary Mathematics,數,Number,4N3,3,倍數和因數,Multiples and factors,core,official_grade; within-grade sequence flexible,EDB-PMC-2017-ZH;EDB-PMC-2017-EN,
Hong Kong Mathematics Curriculum,current,KS2,P4,Primary Mathematics,數,Number,4N4,4,公倍數和公因數,Common multiples and common factors,core,official_grade; within-grade sequence flexible,EDB-PMC-2017-ZH;EDB-PMC-2017-EN,
Hong Kong Mathematics Curriculum,current,KS2,P4,Primary Mathematics,數,Number,4N5,5,四則運算（二）,Four arithmetic operations (II),core,official_grade; within-grade sequence flexible,EDB-PMC-2017-ZH;EDB-PMC-2017-EN,
Hong Kong Mathematics Curriculum,current,KS2,P4,Primary Mathematics,數,Number,4N6,6,分數（二）,Fractions (II),core,official_grade; within-grade sequence flexible,EDB-PMC-2017-ZH;EDB-PMC-2017-EN,
Hong Kong Mathematics Curriculum,current,KS2,P4,Primary Mathematics,數,Number,4N7,7,小數（一）,Decimals (I),core,official_grade; within-grade sequence flexible,EDB-PMC-2017-ZH;EDB-PMC-2017-EN,
Hong Kong Mathematics Curriculum,current,KS2,P4,Primary Mathematics,數,Number,4N8,8,小數（二）,Decimals (II),core,official_grade; within-grade sequence flexible,EDB-PMC-2017-ZH;EDB-PMC-2017-EN,
Hong Kong Mathematics Curriculum,current,KS2,P4,Primary Mathematics,度量,Measures,4M1,9,周界（一）,Perimeter (I),core,official_grade; within-grade sequence flexible,EDB-PMC-2017-ZH;EDB-PMC-2017-EN,
Hong Kong Mathematics Curriculum,current,KS2,P4,Primary Mathematics,度量,Measures,4M2,10,面積（一）,Area (I),core,official_grade; within-grade sequence flexible,EDB-PMC-2017-ZH;EDB-PMC-2017-EN,
Hong Kong Mathematics Curriculum,current,KS2,P4,Primary Mathematics,圖形與空間,Shape and Space,4S1,11,四邊形（三）,Quadrilaterals (III),core,official_grade; within-grade sequence flexible,EDB-PMC-2017-ZH;EDB-PMC-2017-EN,
Hong Kong Mathematics Curriculum,current,KS2,P4,Primary Mathematics,圖形與空間,Shape and Space,4S2,12,圖形分割和拼砌,Dissecting and forming shapes,core,official_grade; within-grade sequence flexible,EDB-PMC-2017-ZH;EDB-PMC-2017-EN,
Hong Kong Mathematics Curriculum,current,KS2,P4,Primary Mathematics,圖形與空間,Shape and Space,4S3,13,方向和位置（三）,Directions and positions (III),core,official_grade; within-grade sequence flexible,EDB-PMC-2017-ZH;EDB-PMC-2017-EN,
Hong Kong Mathematics Curriculum,current,KS2,P4,Primary Mathematics,數據處理,Data Handling,4D1,14,棒形圖（二）,Bar charts (II),core,official_grade; within-grade sequence flexible,EDB-PMC-2017-ZH;EDB-PMC-2017-EN,
Hong Kong Mathematics Curriculum,current,KS2,P4,Primary Mathematics,增潤課題,Enrichment Topics,4E1,15,一筆畫,Eulerian paths,enrichment,official_grade; within-grade sequence flexible,EDB-PMC-2017-ZH;EDB-PMC-2017-EN,
Hong Kong Mathematics Curriculum,current,KS2,P4,Primary Mathematics,增潤課題,Enrichment Topics,4E2,16,分類圖表,Sorting diagrams,enrichment,official_grade; within-grade sequence flexible,EDB-PMC-2017-ZH;EDB-PMC-2017-EN,
Hong Kong Mathematics Curriculum,current,KS2,P5,Primary Mathematics,數,Number,5N1,1,多位數,Multi-digit numbers,core,official_grade; within-grade sequence flexible,EDB-PMC-2017-ZH;EDB-PMC-2017-EN,
Hong Kong Mathematics Curriculum,current,KS2,P5,Primary Mathematics,數,Number,5N2,2,分數（三）,Fractions (III),core,official_grade; within-grade sequence flexible,EDB-PMC-2017-ZH;EDB-PMC-2017-EN,
Hong Kong Mathematics Curriculum,current,KS2,P5,Primary Mathematics,數,Number,5N3,3,分數（四）,Fractions (IV),core,official_grade; within-grade sequence flexible,EDB-PMC-2017-ZH;EDB-PMC-2017-EN,
Hong Kong Mathematics Curriculum,current,KS2,P5,Primary Mathematics,數,Number,5N4,4,小數（三）,Decimals (III),core,official_grade; within-grade sequence flexible,EDB-PMC-2017-ZH;EDB-PMC-2017-EN,
Hong Kong Mathematics Curriculum,current,KS2,P5,Primary Mathematics,數,Number,5N5,5,分數（五）,Fractions (V),core,official_grade; within-grade sequence flexible,EDB-PMC-2017-ZH;EDB-PMC-2017-EN,
Hong Kong Mathematics Curriculum,current,KS2,P5,Primary Mathematics,代數,Algebra,5A1,6,代數的初步認識,Elementary algebra,core,official_grade; within-grade sequence flexible,EDB-PMC-2017-ZH;EDB-PMC-2017-EN,
Hong Kong Mathematics Curriculum,current,KS2,P5,Primary Mathematics,代數,Algebra,5A2,7,簡易方程（一）,Simple equations (I),core,official_grade; within-grade sequence flexible,EDB-PMC-2017-ZH;EDB-PMC-2017-EN,
Hong Kong Mathematics Curriculum,current,KS2,P5,Primary Mathematics,度量,Measures,5M1,8,面積（二）,Area (II),core,official_grade; within-grade sequence flexible,EDB-PMC-2017-ZH;EDB-PMC-2017-EN,
Hong Kong Mathematics Curriculum,current,KS2,P5,Primary Mathematics,度量,Measures,5M2,9,體積（一）,Volume (I),core,official_grade; within-grade sequence flexible,EDB-PMC-2017-ZH;EDB-PMC-2017-EN,
Hong Kong Mathematics Curriculum,current,KS2,P5,Primary Mathematics,圖形與空間,Shape and Space,5S1,10,圓,Circles,core,official_grade; within-grade sequence flexible,EDB-PMC-2017-ZH;EDB-PMC-2017-EN,
Hong Kong Mathematics Curriculum,current,KS2,P5,Primary Mathematics,圖形與空間,Shape and Space,5S2,11,立體圖形（三）,3-D shapes (III),core,official_grade; within-grade sequence flexible,EDB-PMC-2017-ZH;EDB-PMC-2017-EN,
Hong Kong Mathematics Curriculum,current,KS2,P5,Primary Mathematics,數據處理,Data Handling,5D1,12,棒形圖（三）,Bar charts (III),core,official_grade; within-grade sequence flexible,EDB-PMC-2017-ZH;EDB-PMC-2017-EN,
Hong Kong Mathematics Curriculum,current,KS2,P5,Primary Mathematics,增潤課題,Enrichment Topics,5E1,13,中國數字和羅馬數字,Chinese numerals and Roman numerals,enrichment,official_grade; within-grade sequence flexible,EDB-PMC-2017-ZH;EDB-PMC-2017-EN,
Hong Kong Mathematics Curriculum,current,KS2,P5,Primary Mathematics,增潤課題,Enrichment Topics,5E2,14,立體圖形探究,Exploration of 3-D shapes,enrichment,official_grade; within-grade sequence flexible,EDB-PMC-2017-ZH;EDB-PMC-2017-EN,
Hong Kong Mathematics Curriculum,current,KS2,P6,Primary Mathematics,數,Number,6N1,1,小數（四）,Decimals (IV),core,official_grade; within-grade sequence flexible,EDB-PMC-2017-ZH;EDB-PMC-2017-EN,
Hong Kong Mathematics Curriculum,current,KS2,P6,Primary Mathematics,數,Number,6N2,2,小數（五）,Decimals (V),core,official_grade; within-grade sequence flexible,EDB-PMC-2017-ZH;EDB-PMC-2017-EN,
Hong Kong Mathematics Curriculum,current,KS2,P6,Primary Mathematics,數,Number,6N3,3,百分數（一）,Percentages (I),core,official_grade; within-grade sequence flexible,EDB-PMC-2017-ZH;EDB-PMC-2017-EN,
Hong Kong Mathematics Curriculum,current,KS2,P6,Primary Mathematics,數,Number,6N4,4,百分數（二）,Percentages (II),core,official_grade; within-grade sequence flexible,EDB-PMC-2017-ZH;EDB-PMC-2017-EN,
Hong Kong Mathematics Curriculum,current,KS2,P6,Primary Mathematics,代數,Algebra,6A1,5,簡易方程（二）,Simple equations (II),core,official_grade; within-grade sequence flexible,EDB-PMC-2017-ZH;EDB-PMC-2017-EN,
Hong Kong Mathematics Curriculum,current,KS2,P6,Primary Mathematics,度量,Measures,6M1,6,角（度）,Angle (degree),core,official_grade; within-grade sequence flexible,EDB-PMC-2017-ZH;EDB-PMC-2017-EN,
Hong Kong Mathematics Curriculum,current,KS2,P6,Primary Mathematics,度量,Measures,6M2,7,體積（二）,Volume (II),core,official_grade; within-grade sequence flexible,EDB-PMC-2017-ZH;EDB-PMC-2017-EN,
Hong Kong Mathematics Curriculum,current,KS2,P6,Primary Mathematics,度量,Measures,6M3,8,周界（二）,Perimeter (II),core,official_grade; within-grade sequence flexible,EDB-PMC-2017-ZH;EDB-PMC-2017-EN,
Hong Kong Mathematics Curriculum,current,KS2,P6,Primary Mathematics,度量,Measures,6M4,9,速率,Speed,core,official_grade; within-grade sequence flexible,EDB-PMC-2017-ZH;EDB-PMC-2017-EN,
Hong Kong Mathematics Curriculum,current,KS2,P6,Primary Mathematics,度量,Measures,6M5,10,面積（三）,Area (III),core,official_grade; within-grade sequence flexible,EDB-PMC-2017-ZH;EDB-PMC-2017-EN,
Hong Kong Mathematics Curriculum,current,KS2,P6,Primary Mathematics,圖形與空間,Shape and Space,6S1,11,對稱,Symmetry,core,official_grade; within-grade sequence flexible,EDB-PMC-2017-ZH;EDB-PMC-2017-EN,
Hong Kong Mathematics Curriculum,current,KS2,P6,Primary Mathematics,數據處理,Data Handling,6D1,12,平均數,Averages,core,official_grade; within-grade sequence flexible,EDB-PMC-2017-ZH;EDB-PMC-2017-EN,
Hong Kong Mathematics Curriculum,current,KS2,P6,Primary Mathematics,數據處理,Data Handling,6D2,13,折線圖,Broken line graphs,core,official_grade; within-grade sequence flexible,EDB-PMC-2017-ZH;EDB-PMC-2017-EN,
Hong Kong Mathematics Curriculum,current,KS2,P6,Primary Mathematics,數據處理,Data Handling,6D3,14,圓形圖,Pie charts,core,official_grade; within-grade sequence flexible,EDB-PMC-2017-ZH;EDB-PMC-2017-EN,
Hong Kong Mathematics Curriculum,current,KS2,P6,Primary Mathematics,數據處理,Data Handling,6D4,15,統計的應用及誤用,Uses and abuses of statistics,core,official_grade; within-grade sequence flexible,EDB-PMC-2017-ZH;EDB-PMC-2017-EN,
Hong Kong Mathematics Curriculum,current,KS2,P6,Primary Mathematics,增潤課題,Enrichment Topics,6E1,16,旋轉對稱,Rotational symmetry,enrichment,official_grade; within-grade sequence flexible,EDB-PMC-2017-ZH;EDB-PMC-2017-EN,
Hong Kong Mathematics Curriculum,current,KS2,P6,Primary Mathematics,增潤課題,Enrichment Topics,6E2,17,非十進制單位,Non-metric units,enrichment,official_grade; within-grade sequence flexible,EDB-PMC-2017-ZH;EDB-PMC-2017-EN,
Hong Kong Mathematics Curriculum,current,KS3,S1-S3,Junior Secondary Mathematics,數與代數,Number and Algebra,JS01,1,基礎計算,Basic computation,core,key-stage-only; school-based sequencing,EDB-JSMC-2017-ZH;EDB-JSMC-2017-EN,官方文件按第三學習階段列出，不應臆造固定中一、中二、中三次序。
Hong Kong Mathematics Curriculum,current,KS3,S1-S3,Junior Secondary Mathematics,數與代數,Number and Algebra,JS02,2,有向數,Directed numbers,core,key-stage-only; school-based sequencing,EDB-JSMC-2017-ZH;EDB-JSMC-2017-EN,官方文件按第三學習階段列出，不應臆造固定中一、中二、中三次序。
Hong Kong Mathematics Curriculum,current,KS3,S1-S3,Junior Secondary Mathematics,數與代數,Number and Algebra,JS03,3,近似值與數值估算,Approximate values and numerical estimation,core,key-stage-only; school-based sequencing,EDB-JSMC-2017-ZH;EDB-JSMC-2017-EN,官方文件按第三學習階段列出，不應臆造固定中一、中二、中三次序。
Hong Kong Mathematics Curriculum,current,KS3,S1-S3,Junior Secondary Mathematics,數與代數,Number and Algebra,JS04,4,有理數與無理數,Rational and irrational numbers,core,key-stage-only; school-based sequencing,EDB-JSMC-2017-ZH;EDB-JSMC-2017-EN,官方文件按第三學習階段列出，不應臆造固定中一、中二、中三次序。
Hong Kong Mathematics Curriculum,current,KS3,S1-S3,Junior Secondary Mathematics,數與代數,Number and Algebra,JS05,5,百分法,Using percentages,core,key-stage-only; school-based sequencing,EDB-JSMC-2017-ZH;EDB-JSMC-2017-EN,官方文件按第三學習階段列出，不應臆造固定中一、中二、中三次序。
Hong Kong Mathematics Curriculum,current,KS3,S1-S3,Junior Secondary Mathematics,數與代數,Number and Algebra,JS06,6,率、比及比例,"Rates, ratios and proportion",core,key-stage-only; school-based sequencing,EDB-JSMC-2017-ZH;EDB-JSMC-2017-EN,官方文件按第三學習階段列出，不應臆造固定中一、中二、中三次序。
Hong Kong Mathematics Curriculum,current,KS3,S1-S3,Junior Secondary Mathematics,數與代數,Number and Algebra,JS07,7,代數式,Algebraic expressions,core,key-stage-only; school-based sequencing,EDB-JSMC-2017-ZH;EDB-JSMC-2017-EN,官方文件按第三學習階段列出，不應臆造固定中一、中二、中三次序。
Hong Kong Mathematics Curriculum,current,KS3,S1-S3,Junior Secondary Mathematics,數與代數,Number and Algebra,JS08,8,一元一次方程,Linear equations in one unknown,core,key-stage-only; school-based sequencing,EDB-JSMC-2017-ZH;EDB-JSMC-2017-EN,官方文件按第三學習階段列出，不應臆造固定中一、中二、中三次序。
Hong Kong Mathematics Curriculum,current,KS3,S1-S3,Junior Secondary Mathematics,數與代數,Number and Algebra,JS09,9,二元一次方程,Linear equations in two unknowns,core,key-stage-only; school-based sequencing,EDB-JSMC-2017-ZH;EDB-JSMC-2017-EN,官方文件按第三學習階段列出，不應臆造固定中一、中二、中三次序。
Hong Kong Mathematics Curriculum,current,KS3,S1-S3,Junior Secondary Mathematics,數與代數,Number and Algebra,JS10,10,整數指數律,Laws of integral indices,core,key-stage-only; school-based sequencing,EDB-JSMC-2017-ZH;EDB-JSMC-2017-EN,官方文件按第三學習階段列出，不應臆造固定中一、中二、中三次序。
Hong Kong Mathematics Curriculum,current,KS3,S1-S3,Junior Secondary Mathematics,數與代數,Number and Algebra,JS11,11,多項式,Polynomials,core,key-stage-only; school-based sequencing,EDB-JSMC-2017-ZH;EDB-JSMC-2017-EN,官方文件按第三學習階段列出，不應臆造固定中一、中二、中三次序。
Hong Kong Mathematics Curriculum,current,KS3,S1-S3,Junior Secondary Mathematics,數與代數,Number and Algebra,JS12,12,恆等式,Identities,core,key-stage-only; school-based sequencing,EDB-JSMC-2017-ZH;EDB-JSMC-2017-EN,官方文件按第三學習階段列出，不應臆造固定中一、中二、中三次序。
Hong Kong Mathematics Curriculum,current,KS3,S1-S3,Junior Secondary Mathematics,數與代數,Number and Algebra,JS13,13,公式,Formulae,core,key-stage-only; school-based sequencing,EDB-JSMC-2017-ZH;EDB-JSMC-2017-EN,官方文件按第三學習階段列出，不應臆造固定中一、中二、中三次序。
Hong Kong Mathematics Curriculum,current,KS3,S1-S3,Junior Secondary Mathematics,數與代數,Number and Algebra,JS14,14,一元一次不等式,Linear inequalities in one unknown,core,key-stage-only; school-based sequencing,EDB-JSMC-2017-ZH;EDB-JSMC-2017-EN,官方文件按第三學習階段列出，不應臆造固定中一、中二、中三次序。
Hong Kong Mathematics Curriculum,current,KS3,S1-S3,Junior Secondary Mathematics,度量、圖形與空間,"Measures, Shape and Space",JS15,15,量度的誤差,Errors in measurement,core,key-stage-only; school-based sequencing,EDB-JSMC-2017-ZH;EDB-JSMC-2017-EN,官方文件按第三學習階段列出，不應臆造固定中一、中二、中三次序。
Hong Kong Mathematics Curriculum,current,KS3,S1-S3,Junior Secondary Mathematics,度量、圖形與空間,"Measures, Shape and Space",JS16,16,弧長和扇形面積,Arc lengths and areas of sectors,core,key-stage-only; school-based sequencing,EDB-JSMC-2017-ZH;EDB-JSMC-2017-EN,官方文件按第三學習階段列出，不應臆造固定中一、中二、中三次序。
Hong Kong Mathematics Curriculum,current,KS3,S1-S3,Junior Secondary Mathematics,度量、圖形與空間,"Measures, Shape and Space",JS17,17,立體圖形,3-D figures,core,key-stage-only; school-based sequencing,EDB-JSMC-2017-ZH;EDB-JSMC-2017-EN,官方文件按第三學習階段列出，不應臆造固定中一、中二、中三次序。
Hong Kong Mathematics Curriculum,current,KS3,S1-S3,Junior Secondary Mathematics,度量、圖形與空間,"Measures, Shape and Space",JS18,18,求積法,Mensuration,core,key-stage-only; school-based sequencing,EDB-JSMC-2017-ZH;EDB-JSMC-2017-EN,官方文件按第三學習階段列出，不應臆造固定中一、中二、中三次序。
Hong Kong Mathematics Curriculum,current,KS3,S1-S3,Junior Secondary Mathematics,度量、圖形與空間,"Measures, Shape and Space",JS19,19,角和平行線,Angles and parallel lines,core,key-stage-only; school-based sequencing,EDB-JSMC-2017-ZH;EDB-JSMC-2017-EN,官方文件按第三學習階段列出，不應臆造固定中一、中二、中三次序。
Hong Kong Mathematics Curriculum,current,KS3,S1-S3,Junior Secondary Mathematics,度量、圖形與空間,"Measures, Shape and Space",JS20,20,多邊形,Polygons,core,key-stage-only; school-based sequencing,EDB-JSMC-2017-ZH;EDB-JSMC-2017-EN,官方文件按第三學習階段列出，不應臆造固定中一、中二、中三次序。
Hong Kong Mathematics Curriculum,current,KS3,S1-S3,Junior Secondary Mathematics,度量、圖形與空間,"Measures, Shape and Space",JS21,21,全等三角形,Congruent triangles,core,key-stage-only; school-based sequencing,EDB-JSMC-2017-ZH;EDB-JSMC-2017-EN,官方文件按第三學習階段列出，不應臆造固定中一、中二、中三次序。
Hong Kong Mathematics Curriculum,current,KS3,S1-S3,Junior Secondary Mathematics,度量、圖形與空間,"Measures, Shape and Space",JS22,22,相似三角形,Similar triangles,core,key-stage-only; school-based sequencing,EDB-JSMC-2017-ZH;EDB-JSMC-2017-EN,官方文件按第三學習階段列出，不應臆造固定中一、中二、中三次序。
